'i	𒄿
1(asz)	𒀸
1(ban2)	𒑏
1(barig)	𒁹
1(bur'u)	𒐴
1(bur3)	𒌋
1(disz)	𒁹
1(esze3)	𒑘
1(gesz'u)	𒐞
1(gesz2)	𒐕
1(iku)	𒀸
1(szar2)	𒊹
1(u)	𒌋
1/2(disz)	𒈦
1/3(disz)	𒑚
13(disz)	𒎙𒐈
2(asz)	𒐀
2(ban2)	𒑐
2(barig)	𒁹𒁹
2(bur'u)	𒐵
2(bur3)	𒌋𒌋
2(disz)	𒁹
2(esze3)	𒑙
2(gesz'u)	𒐟
2(gesz2)	𒐖
2(gisz)	𒄑
2(iku)	𒐀
2(szar2)	𒐣
2(u)	𒌋
2/3(disz)	𒑛
3(asz)	𒐁
3(ban2)	𒑑
3(barig)	𒁹𒁹𒁹
3(bur'u)	𒐶
3(bur3)	𒌋𒌋𒌋
3(disz)	𒐈
3(esze3)	𒀸𒌋
3(gesz'u)	𒐠
3(gesz2)	𒐗
3(iku)	𒐁
3(u)	𒌋
4(asz)	𒐂
4(ban2)	𒑒
4(barig)	𒍝
4(bur'u)	𒐸
4(bur3)	𒐏
4(disz)	𒐉
4(gesz'u)	𒐡
4(gesz2)	𒐘
4(iku)	𒐂
4(u)	𒐏
5(asz)	𒐃
5(ban2)	𒑔
5(barig)	𒄥
5(bur'u)	𒐹
5(bur3)	𒐐
5(disz)	𒐊
5(gesz2)	𒐙
5(iku)	𒐃
5(u)	𒐐
5/6(disz)	𒑜
6(asz)	𒐄
6(bur3)	𒐑
6(disz)	𒐋
6(gesz2)	𒐚
6(iku)	𒐄
7(asz)	𒐅
7(bur3)	𒐒
7(disz)	𒐌
7(gesz2)	𒐛
7(iku)	𒐅
8(asz)	𒐆
8(bur3)	𒐓
8(disz)	𒐍
8(gesz2)	𒐜
8(iku)	𒐆
9(asz)	𒐇
9(bur3)	𒐔
9(disz)	𒐎
9(gesz2)	𒐝
9(iku)	𒐇
A	𒀀
AB	𒀊
AD	𒀜
AG	𒀝
AH	𒄴
AK	𒀝
AL	𒀠
